CPE,CVE,SCORE,SEVERITY,DESCRIPTION,URLs,REMEDIATIONS,CWE
cpe:2.3:a:10-strike:network_monitor:5.4:*:*:*:*:*:*:*,CVE-2018-6016,7.8,HIGH,"Unquoted Windows search path vulnerability in the 
srvInventoryWebServer service in 10-Strike Network Monitor 
5.4 allows local users to gain privileges via a malicious 
artefact. ",http://seclists.org/fulldisclosure/2018/Mar/21,,CWE-428
cpe:2.3:a:iscripts:easycreate:3.2.1:*:*:*:*:*:*:*,CVE-2018-9236,5.4,MEDIUM,"iScripts EasyCreate 3.2.1 has Stored Cross-Site Scripting 
in the ""Site title"" field. ","https://pastebin.com/Amw08sAj
https://www.exploit-db.com/exploits/44436/ ",,CWE-79
cpe:2.3:a:paloaltonetworks:globalprotect:*:*:*:*:*:*:*:*,CVE-2012-6606,4.9,MEDIUM,"Palo Alto Networks GlobalProtect before 1.1.7, and 
NetConnect, does not verify X.509 certificates from SSL 
servers, which allows man-in-the-middle attackers to spoof 
portal servers and obtain sensitive information via a 
crafted certificate. ","http://archives.neohapsis.com/archives/bugtraq/2012-10/0100.html
https://security.paloaltonetworks.com/CVE-2012-6606 ",,CWE-310
cpe:2.3:a:trendmicro:interscan_web_security_virtual_appliance:6.5:sp2:*:*:*:*:*:*,CVE-2019-9490,8.8,HIGH,"A vulnerability in Trend Micro InterScan Web Security 
Virtual Appliance version 6.5 SP2 could allow an 
non-authorized user to disclose administrative credentials. 
An attacker must be an authenticated user in order to 
exploit the vulnerability. ","http://www.securityfocus.com/bid/107848
https://success.trendmicro.com/solution/1122326 ",https://success.trendmicro.com/solution/1122326,CWE-255
cpe:2.3:a:trendmicro:interscan_web_security_virtual_appliance:6.5:*:*:*:*:*:*:*,CVE-2020-8603,6.1,MEDIUM,"A cross-site scripting vulnerability (XSS) in Trend Micro 
InterScan Web Security Virtual Appliance 6.5 may allow a 
remote attacker to tamper with the web interface of 
affected installations. User interaction is required to 
exploit this vulnerability in that the target must visit a 
malicious page or open a malicious file. ","https://success.trendmicro.com/solution/000253095
https://www.zerodayinitiative.com/advisories/ZDI-20-675/ ",https://success.trendmicro.com/solution/000253095,CWE-79
cpe:2.3:a:trendmicro:interscan_web_security_virtual_appliance:*:*:*:*:*:*:*:*,CVE-2017-6339,6.5,MEDIUM,"Trend Micro InterScan Web Security Virtual Appliance 
(IWSVA) 6.5 before CP 1746 mismanages certain key and 
certificate data. Per IWSVA documentation, by default, 
IWSVA acts as a private Certificate Authority (CA) and 
dynamically generates digital certificates that are sent to 
client browsers to complete a secure passage for HTTPS 
connections. It also allows administrators to upload their 
own certificates signed by a root CA. An attacker with low 
privileges can download the current CA certificate and 
Private Key (either the default ones or ones uploaded by 
administrators) and use those to decrypt HTTPS traffic, 
thus compromising confidentiality. Also, the default 
Private Key on this appliance is encrypted with a very weak 
passphrase. If an appliance uses the default Certificate 
and Private Key provided by Trend Micro, an attacker can 
simply download these and decrypt the Private Key using the 
default/weak passphrase. ","http://www.securityfocus.com/bid/97492
https://success.trendmicro.com/solution/1116960 
https://www.qualys.com/2017/01/12/qsa-2017-01-12/qsa-2017-01-12.pdf ",https://success.trendmicro.com/solution/1116960,CWE-269
cpe:2.3:a:citrix:metaframe:1.8:sp3:*:*:*:*:*:*,CVE-2001-0716,2.9,LOW,"Citrix MetaFrame 1.8 Server with Service Pack 3, and XP 
Server Service Pack 1 and earlier, allows remote attackers 
to cause a denial of service (crash) via a large number of 
incomplete connections to the server. ","http://www.securityfocus.com/bid/3440
http://xforce.iss.net/alerts/advise99.php 
https://exchange.xforce.ibmcloud.com/vulnerabilities/7068 ",http://xforce.iss.net/alerts/advise99.php,NVD-CWE-Other
cpe:2.3:a:citrix:metaframe:1.8:*:*:*:*:*:*:*,CVE-2001-0908,6.4,MEDIUM,"CITRIX Metaframe 1.8 logs the Client Address (IP address) 
that is provided by the client instead of obtaining it from 
the packet headers, which allows clients to spoof their 
public IP address, e.g. through Network Address Translation 
(NAT). ","http://marc.info/?l=bugtraq&m=100638693315933&w=2
http://www.securityfocus.com/bid/3566 
https://exchange.xforce.ibmcloud.com/vulnerabilities/7538 ",http://www.securityfocus.com/bid/3566,NVD-CWE-Other
cpe:2.3:a:citrix:metaframe:1.8:sp3:*:*:*:*:*:*,CVE-2001-0716,2.9,LOW,"Citrix MetaFrame 1.8 Server with Service Pack 3, and XP 
Server Service Pack 1 and earlier, allows remote attackers 
to cause a denial of service (crash) via a large number of 
incomplete connections to the server. ","http://www.securityfocus.com/bid/3440
http://xforce.iss.net/alerts/advise99.php 
https://exchange.xforce.ibmcloud.com/vulnerabilities/7068 ",http://xforce.iss.net/alerts/advise99.php,NVD-CWE-Other
cpe:2.3:a:citrix:metaframe:1.8:*:microsoft_nt_4.0_server_terminal_server:*:*:*:*:*,CVE-2006-3779,6.4,MEDIUM,"Citrix MetaFrame up to XP 1.0 Feature 1, except when 
running on Windows Server 2003, installs a registry key 
with an insecure ACL, which allows remote authenticated 
users to gain privileges. ","http://secunia.com/advisories/21076
http://securitytracker.com/id?1016526 
http://support.citrix.com/article/CTX110492 
http://www.securityfocus.com/bid/19056 
http://www.vupen.com/english/advisories/2006/2862 ",http://secunia.com/advisories/21076,NVD-CWE-Other
cpe:2.3:a:citrix:metaframe:1.8:*:microsoft_nt_4.0_server_terminal_server:*:*:*:*:*,CVE-2006-3779,6.4,MEDIUM,"Citrix MetaFrame up to XP 1.0 Feature 1, except when 
running on Windows Server 2003, installs a registry key 
with an insecure ACL, which allows remote authenticated 
users to gain privileges. ","http://secunia.com/advisories/21076
http://securitytracker.com/id?1016526 
http://support.citrix.com/article/CTX110492 
http://www.securityfocus.com/bid/19056 
http://www.vupen.com/english/advisories/2006/2862 ",http://secunia.com/advisories/21076,NVD-CWE-Other
